club,slug,national_teams,name_sim
Universidad de Concepción,universidad-concepcion,Panama,0.94
Dinamo Samarqand,dinamo-samarkand,Uzbekistan,0.94
Elazığspor,elazigspor,Bosnia and Herzegovina,0.95
Kayseri Erciyesspor,kazseri-erciyesspor,Bosnia and Herzegovina,0.95
Zagłębie Lubin,zaglebie-lubin,Poland,0.96
Wisła Kraków,wisla-krakow,"Hungary,Poland",0.96
Queens Park Rangers,queens-park-rangers,"Australia,Cameroon,Finland,Morocco,Northern Ireland,Scotland,Senegal,South Korea",1.0
Philadelphia Union,philadelphia-union,"Cameroon,Haiti,Hungary,South Africa",1.0
Independiente Rivadavia,independiente-rivadavia,Paraguay,1.0
Enugu Rangers,enugu-rangers,Nigeria,1.0
Dynamo Kyiv,dynamo-kyiv,"Austria,Croatia,Netherlands,Poland,Portugal,Ukraine",1.0
Dinamo Zagreb,dinamo-zagreb,"Albania,Algeria,Croatia,Iran,North Macedonia,Portugal,Romania,Scotland,Switzerland",1.0
Dinamo Tbilisi,dinamo-tbilisi,Georgia,1.0
Dinamo București,dinamo-bucuresti,"Panama,Romania",1.0
Atlético Nacional,atletico-nacional,Colombia,1.0
Universidad de Chile,universidad-de-chile,"Chile,Panama",1.0
Atlético Mineiro,atletico-mineiro,"Brazil,Ecuador,Paraguay",1.0
Atlético Madrid,atletico-madrid,"Argentina,Belgium,Brazil,Croatia,England,France,Mexico,Netherlands,Norway,Portugal,Romania,Slovenia,Spain,Uruguay",1.0
Racing Santander,racing-santander,Colombia,1.0
Houston Dynamo,houston-dynamo,"Honduras,Panama,United States",1.0
