team,city,log_tilt
DR Congo,Santa Clara,0.0032
DR Congo,Seattle,0.0032
Portugal,Arlington,0.0071
Portugal,Atlanta,0.0071
Portugal,East Rutherford,0.0071
Portugal,Foxborough,0.0071
Portugal,Houston,0.0071
Portugal,Inglewood,0.0071
Portugal,Kansas City,0.0071
Portugal,Miami Gardens,0.0071
Portugal,Philadelphia,0.0071
Portugal,Santa Clara,0.0071
Portugal,Seattle,0.0071
Uzbekistan,Arlington,0.0045
Uzbekistan,Atlanta,0.0045
Uzbekistan,East Rutherford,0.0045
Uzbekistan,Foxborough,0.0045
Uzbekistan,Houston,0.0045
Uzbekistan,Inglewood,0.0045
Uzbekistan,Kansas City,0.0045
Uzbekistan,Miami Gardens,0.0045
Uzbekistan,Philadelphia,0.0045
Uzbekistan,Santa Clara,0.0045
Uzbekistan,Seattle,0.0045
Croatia,Arlington,0.0032
Croatia,Atlanta,0.0032
Croatia,East Rutherford,0.0032
Croatia,Foxborough,0.0032
Croatia,Houston,0.0032
Croatia,Inglewood,0.0032
Croatia,Kansas City,0.0032
Croatia,Miami Gardens,0.0032
Croatia,Philadelphia,0.0032
Croatia,Santa Clara,0.0032
Croatia,Seattle,0.0032
England,Arlington,0.0153
England,Atlanta,0.0153
England,East Rutherford,0.0153
England,Foxborough,0.0153
England,Houston,0.0153
England,Inglewood,0.0153
England,Kansas City,0.0153
England,Miami Gardens,0.0153
England,Philadelphia,0.0153
England,Santa Clara,0.0153
England,Seattle,0.0153
Ghana,Arlington,0.0078
Ghana,Atlanta,0.0078
Ghana,East Rutherford,0.0078
Ghana,Foxborough,0.0078
Ghana,Houston,0.0078
Ghana,Inglewood,0.0078
Ghana,Kansas City,0.0078
Ghana,Miami Gardens,0.0078
Ghana,Philadelphia,0.0078
Ghana,Santa Clara,0.0078
Ghana,Seattle,0.0078
Panama,Arlington,0.0064
Panama,Atlanta,0.0064
Panama,East Rutherford,0.0064
Panama,Foxborough,0.0064
Panama,Houston,0.0064
Panama,Inglewood,0.0064
Panama,Kansas City,0.0064
Panama,Miami Gardens,0.0064
Panama,Philadelphia,0.0064
Panama,Santa Clara,0.0064
Panama,Seattle,0.0064
