Rank,Club,Country,Level,Elo,From,To
None,Oviedo,ESP,2,1539.54077148,2016-06-05,2016-08-17
None,Mlada Boleslav,CZE,1,1536.47692871,2016-05-15,2016-07-14
None,Malmoe,SWE,1,1536.05236816,2016-05-29,2016-06-30
None,Panathinaikos,GRE,1,1535.77246094,2016-06-01,2016-07-14
None,Verona,ITA,1,1535.42565918,2016-05-16,2016-07-01
None,Sverdlovsk,RUS,1,1535.35144043,2016-05-22,2016-07-26
None,Mirandes,ESP,2,1533.85998535,2016-06-05,2016-08-17
None,Lugo,ESP,2,1533.58752441,2016-06-05,2016-08-17
None,M Tel Aviv,ISR,1,1532.96777344,2016-05-22,2016-06-30
None,Steaua,ROM,1,1530.85864258,2016-05-11,2016-07-14
None,Vorskla,UKR,1,1529.86242676,2016-05-16,2016-07-23
None,Slovan Liberec,CZE,1,1529.30236816,2016-05-15,2016-07-14
None,Pescara,ITA,2,1529.30114746,2016-06-10,2016-07-01
None,Dynamo Moskva,RUS,1,1525.58959961,2016-05-22,2016-07-01
None,Rijeka,CRO,1,1523.90820312,2016-05-15,2016-06-30
None,PAOK,GRE,1,1519.96203613,2016-06-01,2016-07-14
None,Reims,FRA,1,1518.83496094,2016-05-15,2016-07-01
None,Kuban,RUS,1,1518.02246094,2016-05-22,2016-07-01
None,Austria Wien,AUT,1,1517.4642334,2016-05-16,2016-06-30
None,Ponferradina,ESP,2,1516.8737793,2016-06-05,2016-07-01
None,Celtic,SCO,1,1515.99450684,2016-05-16,2016-06-30
None,Amkar Perm,RUS,1,1514.86914062,2016-05-22,2016-07-26
None,Goeteborg,SWE,1,1513.86193848,2016-05-30,2016-06-30
None,Kryliya Sovetov,RUS,1,1510.92944336,2016-05-22,2016-07-26
None,Sion,SUI,1,1508.90539551,2016-05-26,2016-06-30
None,Aston Villa,ENG,1,1508.5645752,2016-05-19,2016-07-01
None,Karlsruhe,GER,2,1506.76928711,2016-05-16,2016-07-28
None,Union Berlin,GER,2,1506.08752441,2016-05-16,2016-07-28
None,Brentford,ENG,2,1504.36047363,2016-05-19,2016-07-28
None,Ipswich,ENG,2,1504.3536377,2016-05-19,2016-07-28
None,Trapani,ITA,2,1503.90563965,2016-06-10,2016-07-28
None,Midtjylland,DEN,1,1503.12280273,2016-05-30,2016-06-30
None,Norrkoeping,SWE,1,1502.79760742,2016-05-30,2016-06-30
None,Estoril,POR,1,1502.36462402,2016-05-15,2016-07-28
None,Charleroi,BEL,1,1500.58190918,2016-05-30,2016-07-14
None,Grasshoppers,SUI,1,1499.47851562,2016-05-26,2016-06-30
None,QPR,ENG,2,1499.29077148,2016-05-19,2016-07-28
None,Bochum,GER,2,1498.79882812,2016-05-16,2016-07-28
None,Arouca,POR,1,1498.47229004,2016-05-15,2016-07-28
None,Dijon,FRA,2,1498.31896973,2016-05-14,2016-07-01
None,Molde,NOR,1,1497.93933105,2016-05-29,2016-06-30
None,Lautern,GER,2,1496.33654785,2016-05-16,2016-07-28
None,Jablonec,CZE,1,1495.50939941,2016-05-15,2016-07-14
None,Beer-Sheva,ISR,1,1493.66162109,2016-05-22,2016-06-30
None,Le Havre,FRA,2,1492.94165039,2016-05-14,2016-07-27
None,Pandurii,ROM,1,1492.9197998,2016-05-10,2016-07-14
None,Rio Ave,POR,1,1492.89257812,2016-05-15,2016-07-28
None,Crotone,ITA,2,1491.85742188,2016-05-21,2016-07-01
None,Cardiff,ENG,2,1491.47180176,2016-05-19,2016-07-28
None,Ankaraspor,TUR,1,1489.6505127,2016-05-20,2016-07-14
None,Slavia Praha,CZE,1,1489.32189941,2016-05-15,2016-07-14
None,Standard,BEL,1,1486.85437012,2016-05-08,2016-07-14
None,Metz,FRA,2,1484.69458008,2016-05-14,2016-07-01
None,Pacos Ferreira,POR,1,1484.19641113,2016-05-15,2016-07-28
None,Gazelec,FRA,1,1484.12365723,2016-05-15,2016-07-01
None,Vitesse,NED,1,1483.74816895,2016-05-09,2016-07-26
None,AIK,SWE,1,1480.4107666,2016-05-29,2016-06-30
None,Odd Grenland,NOR,1,1480.3026123,2016-05-30,2016-06-30
None,Sturm Graz,AUT,1,1479.22143555,2016-05-16,2016-06-30
None,St Pauli,GER,2,1479.125,2016-05-16,2016-07-28
None,Braunschweig,GER,2,1477.7376709,2016-05-16,2016-07-28
None,APOEL,CYP,0,1477.1204834,2015-12-11,2016-06-30
None,Crvena Zvezda,SRB,1,1476.37792969,2016-05-22,2016-06-30
None,Anzhi,RUS,1,1475.32250977,2016-05-22,2016-07-26
None,Ufa,RUS,1,1475.21447754,2016-05-22,2016-07-26
None,Birmingham,ENG,2,1474.34729004,2016-05-19,2016-07-28
None,Kortrijk,BEL,1,1474.09155273,2016-05-22,2016-07-14
None,Wolves,ENG,2,1474.00170898,2016-05-19,2016-07-28
None,Blackburn,ENG,2,1473.53857422,2016-05-19,2016-07-28
None,Lokeren,BEL,1,1473.22021484,2016-05-08,2016-07-14
None,Cesena,ITA,2,1470.08325195,2016-05-25,2016-07-28
None,Karabakh Agdam,AZE,0,1469.75317383,2015-12-11,2016-06-28
None,Albacete,ESP,2,1469.22668457,2016-06-05,2016-07-01
None,Guimaraes,POR,1,1469.01794434,2016-05-15,2016-07-28
None,Kasimpasa,TUR,1,1468.55725098,2016-05-20,2016-07-14
None,Utrecht,NED,1,1468.34082031,2016-05-23,2016-07-26
None,Heidenheim,GER,2,1467.79089355,2016-05-16,2016-07-28
None,Thun,SUI,1,1467.21777344,2016-05-26,2016-06-30
None,Bursaspor,TUR,1,1466.58312988,2016-05-19,2016-07-14
None,Genclerbirligi,TUR,1,1466.43457031,2016-05-20,2016-07-14
None,Mordovia,RUS,1,1466.12890625,2016-05-22,2016-07-01
None,Bilbao B,ESP,2,1463.05493164,2016-06-05,2016-07-01
None,Dinamo Bucuresti,ROM,1,1462.91394043,2016-05-07,2016-07-14
None,Nacional,POR,1,1462.25219727,2016-05-16,2016-07-28
None,Frosinone,ITA,1,1461.63879395,2016-05-15,2016-07-01
None,Oostende,BEL,1,1461.59143066,2016-05-23,2016-07-14
None,Leeds,ENG,2,1459.45336914,2016-05-19,2016-07-28
None,Spezia,ITA,2,1458.70849609,2016-06-01,2016-07-28
None,Belenenses,POR,1,1457.87036133,2016-05-15,2016-07-28
None,Preston,ENG,2,1456.64685059,2016-05-19,2016-07-28
None,Heracles,NED,1,1455.7253418,2016-05-23,2016-07-26
None,Olexandriya,UKR,1,1454.06738281,2016-05-16,2016-07-23
None,Bielefeld,GER,2,1453.88525391,2016-05-16,2016-07-28
None,Wolfsberg,AUT,1,1453.86083984,2016-05-16,2016-06-30
None,SonderjyskE,DEN,1,1452.95336914,2016-05-30,2016-06-30
None,Lens,FRA,2,1451.54833984,2016-05-14,2016-07-27
None,Fuerth,GER,2,1449.02075195,2016-05-16,2016-07-28
None,Twente,NED,1,1448.22021484,2016-05-09,2016-07-26
None,Metalist,UKR,1,1448.05383301,2016-05-15,2016-07-01
None,Volyn Lutsk,UKR,1,1446.51208496,2016-05-15,2016-07-24
None,Atromitos,GRE,1,1445.45983887,2016-04-18,2016-07-14
None,Dinamo Minsk,BLR,1,1444.8347168,2016-06-05,2016-06-10
None,Stromsgodset,NOR,1,1444.64685059,2016-05-30,2016-06-30
None,Elfsborg,SWE,1,1444.3572998,2016-05-30,2016-06-30
None,Akhisar,TUR,1,1443.99279785,2016-05-20,2016-07-14
None,Bari,ITA,2,1443.45471191,2016-05-26,2016-07-28
None,Forest,ENG,2,1443.14257812,2016-05-19,2016-07-28
None,Dniprodzerzhynsk,UKR,1,1441.84558105,2016-05-15,2016-07-23
None,Antalyaspor,TUR,1,1441.60046387,2016-05-20,2016-07-14
None,Auxerre,FRA,2,1441.1328125,2016-05-14,2016-07-27
None,Admira,AUT,1,1440.2454834,2016-05-16,2016-06-30
None,Altach,AUT,1,1439.61950684,2016-05-16,2016-06-30
None,Novara,ITA,2,1438.49975586,2016-06-02,2016-07-28
None,Razgrad,BUL,1,1437.77026367,2016-05-28,2016-06-30
None,Brondby,DEN,1,1436.99987793,2016-05-30,2016-06-30
None,FK Astana,KAZ,0,1436.61608887,2015-12-09,2016-06-30
None,Maritimo,POR,1,1435.34057617,2016-05-16,2016-07-28
None,CFR Cluj,ROM,1,1434.90930176,2016-05-30,2016-07-14
None,Omonia,CYP,0,1434.29382324,2015-12-11,2016-06-30
None,Mechelen,BEL,1,1433.55285645,2016-05-08,2016-07-14
None,Zwolle,NED,1,1433.0559082,2016-05-16,2016-07-26
None,Asteras Tripolis,GRE,1,1432.90087891,2016-04-18,2016-07-14
None,Entella,ITA,2,1431.59106445,2016-05-21,2016-07-28
None,Brno,CZE,1,1430.91149902,2016-05-15,2016-07-14
None,Partizan,SRB,1,1430.03503418,2016-05-22,2016-06-30
None,Clermont,FRA,2,1429.8984375,2016-05-14,2016-07-27
None,Den Haag,NED,1,1429.2401123,2016-05-09,2016-07-26
None,Zuerich,SUI,1,1429.08288574,2016-05-26,2016-06-30
None,AEK,GRE,1,1428.77062988,2016-06-01,2016-07-14
None,Troyes,FRA,1,1427.86010742,2016-05-15,2016-07-01
None,Dukla,CZE,1,1427.62072754,2016-05-15,2016-07-14
None,Bohemians Praha,CZE,1,1426.76660156,2016-05-15,2016-07-14
None,Huddersfield,ENG,2,1426.56420898,2016-05-19,2016-07-28
None,Bristol City,ENG,2,1426.29992676,2016-05-19,2016-07-28
None,Sochaux,FRA,2,1425.87390137,2016-05-14,2016-07-27
None,Fulham,ENG,2,1424.96069336,2016-05-19,2016-07-28
None,Groningen,NED,1,1424.74511719,2016-05-16,2016-07-26
None,Red Star,FRA,2,1423.95922852,2016-05-14,2016-07-27
None,Ried,AUT,1,1423.56176758,2016-05-16,2016-06-30
None,Heerenveen,NED,1,1422.08483887,2016-05-09,2016-07-26
None,Lubin,POL,1,1421.80395508,2016-05-16,2016-06-30
None,Cracovia,POL,1,1420.77233887,2016-05-16,2016-06-30
None,Piast Gliwice,POL,1,1420.73449707,2016-05-16,2016-06-30
None,Duesseldorf,GER,2,1419.52258301,2016-05-16,2016-07-28
None,Moreirense,POR,1,1419.48974609,2016-05-16,2016-07-28
None,Paderborn,GER,2,1419.09655762,2016-05-16,2016-07-01
None,Apollon Lemesos,CYP,0,1418.41772461,2015-12-11,2016-06-30
None,Rotherham,ENG,2,1418.38354492,2016-05-19,2016-07-28
None,Aalborg,DEN,1,1418.19030762,2016-05-30,2016-06-30
None,Zulte Waregem,BEL,1,1417.80895996,2016-05-23,2016-07-14
None,Muenchen 60,GER,2,1417.5802002,2016-05-16,2016-07-28
None,Evian TG,FRA,2,1416.54321289,2016-05-14,2016-07-01
None,Giannina,GRE,1,1413.65710449,2016-04-18,2016-07-14
None,Trabzonspor,TUR,1,1412.83239746,2016-05-20,2016-07-14
None,Lech,POL,1,1411.93188477,2016-05-16,2016-06-30
None,Vaduz,LIE,1,1410.91418457,2016-05-26,2016-06-30
None,Nimes,FRA,2,1410.64294434,2016-05-14,2016-07-27
None,Lechia,POL,1,1410.36657715,2016-05-16,2016-06-30
None,Sandhausen,GER,2,1410.12133789,2016-05-16,2016-07-28
None,Niort,FRA,2,1409.48498535,2016-05-14,2016-07-27
None,Slovacko,CZE,1,1409.04492188,2016-05-15,2016-07-14
None,Sivasspor,TUR,1,1408.82543945,2016-05-20,2016-07-01
None,Boavista,POR,1,1408.06604004,2016-05-15,2016-07-28
None,Reading,ENG,2,1406.92822266,2016-05-19,2016-07-28
None,Oerebro,SWE,1,1406.75390625,2016-05-29,2016-06-30
None,Perugia,ITA,2,1406.64575195,2016-05-21,2016-07-28
None,StGallen,SUI,1,1406.29174805,2016-05-26,2016-06-30
None,Wisla,POL,1,1405.28613281,2016-05-15,2016-06-30
None,Karpaty,UKR,1,1404.85961914,2016-05-09,2016-07-23
None,Randers,DEN,1,1404.8182373,2016-05-30,2016-06-30
None,Haecken,SWE,1,1404.57910156,2016-05-30,2016-06-30
None,Maribor,SVN,1,1403.11083984,2016-05-22,2016-06-30
None,Botosani,ROM,1,1402.66223145,2016-05-30,2016-07-14
None,Laval,FRA,2,1402.44226074,2016-05-14,2016-07-27
None,Brest,FRA,2,1402.34326172,2016-05-14,2016-07-27
None,Viitorul,ROM,1,1400.73120117,2016-05-07,2016-07-14
None,Lugano,SUI,1,1400.27746582,2016-05-26,2016-06-30
None,Valenciennes,FRA,2,1399.83935547,2016-05-14,2016-07-27
None,Duisburg,GER,2,1399.61743164,2016-05-16,2016-07-01
None,Tours,FRA,2,1398.41906738,2016-05-14,2016-07-27
None,Tondela,POR,1,1397.70446777,2016-05-15,2016-07-28
None,Rizespor,TUR,1,1397.26025391,2016-05-19,2016-07-14
None,Djurgarden,SWE,1,1394.81225586,2016-05-30,2016-06-30
None,Ferencvaros,HUN,1,1394.51647949,2016-05-01,2016-06-30
None,Hajduk,CRO,1,1393.03588867,2016-05-15,2016-06-30
None,Inter Baku,AZE,0,1392.76269531,2015-12-11,2016-06-28
None,Viking,NOR,1,1392.24108887,2016-05-30,2016-06-30
None,Larnaca,CYP,0,1390.77758789,2015-12-11,2016-06-30
None,Aktobe,KAZ,0,1389.56958008,2015-12-09,2016-06-30
None,Ternana,ITA,2,1387.15649414,2016-05-21,2016-07-28
None,Iasi,ROM,1,1386.69543457,2016-05-30,2016-07-14
None,Vicenza,ITA,2,1386.51000977,2016-05-21,2016-07-28
None,Salernitana,ITA,2,1386.50500488,2016-06-09,2016-07-28
None,Slask,POL,1,1385.08642578,2016-05-15,2016-06-30
None,Kayseri,TUR,1,1385.06396484,2016-05-20,2016-07-14
None,Platanias,GRE,1,1385.00097656,2016-04-18,2016-07-14
None,Neftchi,AZE,0,1383.6472168,2015-12-11,2016-06-28
None,Zilina,SLK,0,1383.43713379,2015-08-28,2016-06-28
None,Latina,ITA,2,1383.35876465,2016-05-21,2016-07-28
None,Groedig,AUT,1,1382.46630859,2016-05-16,2016-06-30
None,Gaziantepspor,TUR,1,1382.37536621,2016-05-20,2016-07-14
None,Craiova,ROM,1,1382.13745117,2016-05-30,2016-07-14
None,Panionios,GRE,1,1382.11437988,2016-06-01,2016-07-14
None,Maccabi Haifa,ISR,1,1382.02429199,2016-05-22,2016-06-30
None,Charlton,ENG,2,1381.35766602,2016-05-19,2016-07-01
None,Eskisehirspor,TUR,1,1381.1048584,2016-05-20,2016-07-01
None,Setubal,POR,1,1380.31066895,2016-05-15,2016-07-28
None,Litex,BUL,1,1379.07568359,2015-12-13,2016-06-30
None,Teplice,CZE,1,1378.85095215,2016-05-15,2016-07-14
None,Brescia,ITA,2,1378.5546875,2016-05-21,2016-07-28
None,Nijmegen,NED,1,1378.48181152,2016-05-09,2016-07-26
None,Ajaccio,FRA,2,1378.06054688,2016-05-14,2016-07-27
None,Chernomorets,UKR,1,1377.73474121,2016-05-15,2016-07-23
None,Targu Mures,ROM,1,1377.69689941,2016-05-11,2016-07-14
None,Trnava,SLK,0,1376.86987305,2015-08-28,2016-06-28
None,Jihlava,CZE,1,1375.54736328,2016-05-15,2016-07-14
None,Odense,DEN,1,1374.1348877,2016-05-30,2016-06-30
None,Lillestrom,NOR,1,1374.06921387,2016-05-30,2016-06-30
None,Soligorsk,BLR,1,1371.91918945,2016-06-06,2016-06-10
None,Gabala,AZE,0,1369.00708008,2015-12-11,2016-06-28
None,FSV Frankfurt,GER,2,1368.6763916,2016-05-16,2016-07-01
None,Beitar,ISR,1,1367.62145996,2016-05-22,2016-06-30
None,Leuven,BEL,1,1367.02905273,2016-03-18,2016-07-01
None,Trencin,SLK,0,1365.62585449,2015-08-28,2016-06-28
None,U Madeira,POR,1,1365.46643066,2016-05-15,2016-07-01
None,Pribram,CZE,1,1365.45788574,2016-05-15,2016-07-14
None,Academica,POR,1,1364.6763916,2016-05-15,2016-07-01
None,Pro Vercelli,ITA,2,1364.3203125,2016-05-21,2016-07-28
None,Mouscron,BEL,1,1363.86132812,2016-05-08,2016-07-14
None,Olimpik Donetsk,UKR,1,1363.62585449,2016-05-16,2016-07-24
None,Levadeiakos,GRE,1,1363.48144531,2016-04-18,2016-07-14
None,Olimpija Ljubljana,SVN,1,1362.72143555,2016-05-22,2016-06-30
None,Pogon,POL,1,1362.22973633,2016-05-16,2016-06-30
None,Avellino,ITA,2,1361.51745605,2016-05-21,2016-07-28
None,Livorno,ITA,2,1359.95495605,2016-05-21,2016-07-01
None,Bnei Sakhinin,ISR,1,1359.84265137,2016-05-22,2016-06-30
None,Ascoli,ITA,2,1358.86499023,2016-05-21,2016-07-28
None,Xanthi,GRE,1,1356.59875488,2016-04-18,2016-07-14
