Rank,Club,Country,Level,Elo,From,To
None,Nordsjaelland,DEN,1,1436.29089355,2014-05-19,2014-07-17
None,Sturm Graz,AUT,1,1434.22216797,2014-05-12,2014-07-17
None,Huddersfield,ENG,2,1434.05883789,2014-05-04,2014-07-31
None,Ilichivets,UKR,1,1433.5234375,2014-05-17,2014-07-17
None,Lech,POL,1,1433.02062988,2014-06-02,2014-07-16
None,Arouca,POR,1,1432.5324707,2014-05-15,2014-07-31
None,Arsenal Kyiv,UKR,1,1432.41442871,2014-02-28,2014-07-01
None,Rijeka,CRO,1,1431.96118164,2014-05-18,2014-07-03
None,Nimes,FRA,2,1431.72851562,2014-05-17,2014-07-30
None,Elazigspor,TUR,1,1431.69433594,2014-05-18,2014-07-01
None,Brescia,ITA,2,1430.88562012,2014-05-31,2014-07-31
None,Gil Vicente,POR,1,1430.32495117,2014-05-15,2014-07-31
None,Millwall,ENG,2,1428.39074707,2014-05-04,2014-07-31
None,Belenenses,POR,1,1427.54528809,2014-05-15,2014-07-31
None,Kalmar,SWE,1,1425.97021484,2014-06-01,2014-07-03
None,Erciyesspor,TUR,1,1424.21044922,2014-05-18,2014-07-17
None,Goeteborg,SWE,1,1423.80981445,2014-06-03,2014-07-03
None,Jablonec,CZE,1,1422.73071289,2014-06-01,2014-07-15
None,Bochum,GER,2,1421.38085938,2014-05-12,2014-07-31
None,Spezia,ITA,2,1419.58947754,2014-06-04,2014-07-31
None,Creteil,FRA,2,1419.20129395,2014-05-17,2014-07-30
None,Apollon Lemesos,CYP,0,1418.61608887,2013-12-13,2014-07-17
None,Otelul Galati,ROM,1,1418.6105957,2014-05-21,2014-07-16
None,Birmingham,ENG,2,1417.87731934,2014-05-04,2014-07-31
None,Carpi,ITA,2,1417.68261719,2014-05-31,2014-07-31
None,Banik Ostrava,CZE,1,1416.30029297,2014-06-01,2014-07-15
None,Sandhausen,GER,2,1414.99804688,2014-05-12,2014-07-31
None,Kortrijk,BEL,1,1414.60388184,2014-05-18,2014-07-17
None,Brasov,ROM,1,1414.58898926,2014-05-22,2014-07-16
None,Den Haag,NED,1,1414.32617188,2014-05-04,2014-07-17
None,Crotone,ITA,2,1414.12341309,2014-06-04,2014-07-31
None,Haecken,SWE,1,1412.83642578,2014-06-03,2014-07-03
None,Jihlava,CZE,1,1412.60498047,2014-06-01,2014-07-15
None,Dresden,GER,2,1412.35327148,2014-05-12,2014-07-01
None,Levski,BUL,1,1412.32226562,2014-05-18,2014-07-03
None,Auxerre,FRA,2,1411.4786377,2014-05-17,2014-07-30
None,Olhanense,POR,1,1410.13415527,2014-05-15,2014-07-01
None,Groedig,AUT,1,1407.45861816,2014-05-12,2014-07-17
None,Dinamo Minsk,BLR,1,1407.16271973,2014-06-12,2014-06-15
None,Arles-Avignon,FRA,2,1406.91760254,2014-05-17,2014-07-30
None,Wolfsberg,AUT,1,1405.2911377,2014-05-12,2014-07-17
None,Karpaty,UKR,1,1405.171875,2014-05-19,2014-07-17
None,Ried,AUT,1,1405.01806641,2014-05-12,2014-07-17
None,Helsingborg,SWE,1,1403.47387695,2014-06-02,2014-07-03
None,Sigma Olomouc,CZE,1,1402.52819824,2014-06-01,2014-07-01
None,Virtus Lanciano,ITA,2,1402.43005371,2014-05-31,2014-07-31
None,Zilina,SLK,0,1402.28491211,2013-08-09,2014-07-01
None,Bielefeld,GER,2,1401.57080078,2014-05-12,2014-07-01
None,Blackpool,ENG,2,1398.77661133,2014-05-04,2014-07-31
None,Gyoer,HUN,1,1398.2532959,2014-06-01,2014-07-01
None,Barnsley,ENG,2,1397.76098633,2014-05-04,2014-07-01
None,Crvena Zvezda,SRB,1,1397.70837402,2014-05-29,2014-07-03
None,Trapani,ITA,2,1397.67053223,2014-05-31,2014-07-31
None,Avellino,ITA,2,1397.27856445,2014-05-31,2014-07-31
None,Volga,RUS,1,1397.25231934,2014-05-16,2014-07-01
None,Motherwell,SCO,1,1395.27441406,2014-05-12,2014-07-03
None,Heracles,NED,1,1394.8638916,2014-05-04,2014-07-17
None,Charleroi,BEL,1,1394.83825684,2014-05-04,2014-07-17
None,Admira,AUT,1,1393.98681641,2014-05-13,2014-07-17
None,Laval,FRA,2,1393.85388184,2014-05-17,2014-07-30
None,Breda,NED,1,1393.70544434,2014-05-04,2014-07-17
None,Pribram,CZE,1,1393.61901855,2014-06-01,2014-07-15
None,Ternana,ITA,2,1393.57055664,2014-05-31,2014-07-31
None,Zwolle,NED,1,1391.4519043,2014-05-04,2014-07-17
None,Pescara,ITA,2,1391.20910645,2014-05-31,2014-07-31
None,SonderjyskE,DEN,1,1391.04602051,2014-05-19,2014-07-17
None,Clermont,FRA,2,1390.55603027,2014-05-17,2014-07-30
None,Gaz Metan,ROM,1,1390.32824707,2014-05-22,2014-07-16
None,Sheriff Tiraspol,MOL,0,1385.73400879,2013-12-13,2014-07-01
None,Botev Plovdiv,BUL,1,1385.04724121,2014-05-12,2014-07-03
None,Randers,DEN,1,1384.79772949,2014-05-19,2014-07-17
None,Slavia Praha,CZE,1,1384.66320801,2014-06-01,2014-07-15
None,Djurgarden,SWE,1,1384.14904785,2014-05-31,2014-07-03
None,Cittadella,ITA,2,1384.06286621,2014-05-31,2014-07-31
None,Doncaster,ENG,2,1382.9699707,2014-05-04,2014-07-01
None,Brno,CZE,1,1382.91699219,2014-06-01,2014-07-15
None,Viking,NOR,1,1382.72595215,2014-06-10,2014-06-12
None,Viitorul,ROM,1,1382.43823242,2014-05-22,2014-07-16
None,Aberdeen,SCO,1,1382.25732422,2014-05-12,2014-07-03
None,Universitatea Cluj,ROM,1,1380.56896973,2014-05-21,2014-07-16
None,Odense,DEN,1,1380.31604004,2014-05-19,2014-07-17
None,Vaduz,LIE,0,1378.37365723,2014-04-11,2014-07-01
None,Oostende,BEL,1,1378.32629395,2014-05-18,2014-07-17
None,Cottbus,GER,2,1374.85705566,2014-05-12,2014-07-01
None,Chateauroux,FRA,2,1373.39916992,2014-05-17,2014-07-30
None,Varese,ITA,2,1373.22961426,2014-06-07,2014-06-13
None,Yeovil,ENG,2,1373.16577148,2014-05-04,2014-07-01
None,Lausanne,SUI,1,1373.08447266,2014-05-19,2014-07-01
None,Videoton,HUN,1,1371.90319824,2014-06-02,2014-07-01
None,Debrecen,HUN,1,1370.60632324,2014-06-01,2014-07-01
None,Odd Grenland,NOR,1,1369.29504395,2014-06-10,2014-06-12
None,Cambuur,NED,1,1367.6237793,2014-05-04,2014-07-17
None,Novara,ITA,2,1367.34191895,2014-06-07,2014-06-13
None,Slask,POL,1,1366.8560791,2014-06-01,2014-07-16
None,Nijmegen,NED,1,1366.83935547,2014-05-04,2014-07-01
None,Waalwijk,NED,1,1365.46716309,2014-05-04,2014-07-01
None,Giannina,GRE,1,1364.6315918,2014-04-14,2014-07-17
None,Sevastopol,UKR,1,1361.84179688,2014-05-18,2014-07-01
None,Uzhgorod,UKR,1,1361.73583984,2014-05-18,2014-07-17
None,Dundee United,SCO,1,1360.99975586,2014-05-12,2014-07-03
None,OFI,GRE,1,1359.08984375,2014-04-14,2014-07-17
None,Piatra Neamt,ROM,1,1358.65917969,2014-05-22,2014-07-16
None,Dila Gori,GEO,0,1358.33081055,2013-08-30,2014-07-01
None,Valerenga,NOR,1,1357.92797852,2014-06-10,2014-06-12
