Rank,Club,Country,Level,Elo,From,To
31,Benfica,POR,1,1729.20678711,2018-05-20,2018-07-26
32,Espanyol,ESP,1,1729.14025879,2018-05-27,2018-07-26
33,Besiktas,TUR,1,1727.90893555,2018-05-27,2018-07-26
34,Betis,ESP,1,1725.50952148,2018-05-27,2018-07-26
35,Eibar,ESP,1,1725.2401123,2018-05-27,2018-07-26
36,Zenit,RUS,1,1725.1315918,2018-05-27,2018-07-26
37,Milan,ITA,1,1722.52709961,2018-05-21,2018-07-26
38,Getafe,ESP,1,1721.39746094,2018-05-27,2018-07-26
39,Celta,ESP,1,1718.39123535,2018-05-27,2018-07-26
40,Hoffenheim,GER,1,1714.75732422,2018-05-21,2018-07-26
41,Leverkusen,GER,1,1708.45617676,2018-05-17,2018-07-25
42,Sporting,POR,1,1707.0579834,2018-05-21,2018-07-25
43,Dynamo Kyiv,UKR,1,1706.78051758,2018-05-21,2018-07-25
44,Alaves,ESP,1,1706.46960449,2018-05-27,2018-07-26
45,Bilbao,ESP,1,1700.13037109,2018-05-27,2018-07-26
46,Everton,ENG,1,1698.21655273,2018-05-27,2018-07-26
47,Leicester,ENG,1,1696.15197754,2018-05-27,2018-07-26
48,Levante,ESP,1,1694.96459961,2018-05-27,2018-07-26
49,Crystal Palace,ENG,1,1691.60559082,2018-05-27,2018-07-25
50,Spartak Moskva,RUS,1,1691.2166748,2018-05-21,2018-07-25
51,RB Leipzig,GER,1,1689.07324219,2018-05-27,2018-07-25
52,Burnley,ENG,1,1687.52050781,2018-05-27,2018-07-25
53,Fiorentina,ITA,1,1684.82592773,2018-05-21,2018-07-25
54,Ajax,NED,1,1683.54760742,2018-05-14,2018-07-25
55,Torino,ITA,1,1679.41601562,2018-05-21,2018-07-26
56,FC Krasnodar,RUS,1,1673.42333984,2018-05-27,2018-07-26
57,Bournemouth,ENG,1,1672.43444824,2018-05-27,2018-07-26
58,West Ham,ENG,1,1672.38671875,2018-05-27,2018-07-26
59,Newcastle,ENG,1,1669.52526855,2018-05-27,2018-07-17
60,Fenerbahce,TUR,1,1669.11975098,2018-05-20,2018-07-17
61,Lok Moskva,RUS,1,1666.70239258,2018-05-14,2018-07-11
62,Basel,SUI,1,1665.62402344,2018-05-20,2018-07-11
63,Girona,ESP,1,1664.00695801,2018-05-27,2018-07-21
64,Gladbach,GER,1,1663.01623535,2018-05-27,2018-07-21
65,Stuttgart,GER,1,1662.46362305,2018-05-27,2018-07-21
66,PSV,NED,1,1660.67199707,2018-05-20,2018-07-21
67,Werder,GER,1,1657.46777344,2018-05-20,2018-07-21
68,Bueyueksehir,TUR,1,1652.6739502,2018-05-27,2018-07-24
69,Southampton,ENG,1,1652.15490723,2018-05-27,2018-07-24
70,Young Boys,SUI,1,1643.20739746,2018-05-20,2018-07-11
71,Galatasaray,TUR,1,1642.25146484,2018-05-20,2018-07-26
72,Rennes,FRA,1,1641.33093262,2018-05-20,2018-07-26
73,Nice,FRA,1,1638.92773438,2018-05-20,2018-07-26
74,Leganes,ESP,1,1634.80310059,2018-05-27,2018-07-26
75,Bordeaux,FRA,1,1634.66516113,2018-05-27,2018-07-26
76,Fulham,ENG,2,1632.45361328,2018-05-27,2018-07-01
77,Braga,POR,1,1632.2923584,2018-05-21,2018-07-26
78,Brighton,ENG,1,1631.52233887,2018-05-27,2018-07-26
79,Frankfurt,GER,1,1630.62756348,2018-05-27,2018-07-26
80,Stoke,ENG,1,1627.80334473,2018-05-27,2018-07-01
81,Watford,ENG,1,1625.0892334,2018-05-28,2018-07-26
82,Saint-Etienne,FRA,1,1621.98132324,2018-06-03,2018-07-26
83,Valladolid,ESP,2,1621.6036377,2018-06-14,2018-06-16
84,West Brom,ENG,1,1619.95874023,2018-06-14,2018-07-01
85,Swansea,ENG,1,1617.97375488,2018-06-14,2018-07-01
86,Augsburg,GER,1,1617.43334961,2018-06-14,2018-07-24
87,PAOK,GRE,1,1616.14160156,2018-06-14,2018-07-24
88,Rostov,RUS,1,1615.38708496,2018-06-14,2018-07-24
89,Hertha,GER,1,1612.19152832,2018-06-14,2018-07-19
90,Rayo Vallecano,ESP,2,1609.30224609,2018-06-14,2018-07-01
91,Crvena Zvezda,SRB,1,1608.50866699,2018-06-14,2018-07-11
92,Brugge,BEL,1,1607.13818359,2018-06-14,2018-07-11
93,Huesca,ESP,2,1604.14855957,2018-06-11,2018-07-01
94,APOEL,CYP,0,1603.97558594,2018-06-11,2018-07-11
95,Wolfsburg,GER,1,1603.08557129,2018-06-11,2018-07-11
96,Sampdoria,ITA,1,1602.63012695,2018-06-11,2018-07-11
97,Depor,ESP,1,1599.984375,2018-06-11,2018-07-01
98,Mainz,GER,1,1599.22119141,2018-06-11,2018-07-11
99,AEK,GRE,1,1598.75390625,2018-06-11,2018-07-11
100,Sassuolo,ITA,1,1597.6348877,2018-06-10,2018-07-11
None,Montpellier,FRA,1,1592.52172852,2018-05-20,2018-07-11
None,Wolves,ENG,2,1591.73303223,2018-05-27,2018-07-01
None,Olympiakos,GRE,1,1589.74487305,2018-05-07,2018-07-24
None,Empoli,ITA,2,1589.37072754,2018-05-19,2018-07-01
None,Terek Grozny,RUS,1,1589.13391113,2018-05-14,2018-07-26
None,Gijon,ESP,2,1588.82995605,2018-06-11,2018-07-26
None,Rapid Wien,AUT,1,1588.18310547,2018-05-28,2018-07-25
None,Feyenoord,NED,1,1585.81286621,2018-05-07,2018-07-25
None,Zaragoza,ESP,2,1584.11730957,2018-06-10,2018-07-26
None,Sturm Graz,AUT,1,1582.93505859,2018-05-28,2018-07-25
None,Malaga,ESP,1,1582.45983887,2018-05-27,2018-07-01
None,Midtjylland,DEN,1,1581.5645752,2018-05-22,2018-07-12
None,Rubin Kazan,RUS,1,1580.12670898,2018-05-14,2018-07-26
None,Reims,FRA,2,1580.0057373,2018-05-17,2018-07-01
None,Genk,BEL,1,1578.99621582,2018-05-28,2018-07-26
None,Steaua,ROM,1,1578.92004395,2018-05-21,2018-07-12
None,Hannover,GER,1,1578.83081055,2018-05-13,2018-07-26
None,Razgrad,BUL,1,1578.45043945,2018-05-21,2018-07-11
None,Ufa,RUS,1,1578.11584473,2018-05-14,2018-07-26
None,Nantes,FRA,1,1577.63293457,2018-05-20,2018-07-26
None,Gent,BEL,1,1577.34008789,2018-05-21,2018-07-26
None,Freiburg,GER,1,1576.05029297,2018-05-13,2018-07-26
None,Cardiff,ENG,2,1575.14428711,2018-05-27,2018-07-01
None,Standard,BEL,1,1571.8112793,2018-05-21,2018-07-26
None,Hamburg,GER,1,1571.32592773,2018-05-13,2018-07-01
None,Viktoria Plzen,CZE,1,1569.79589844,2018-05-27,2018-07-20
None,Cadiz,ESP,2,1569.40368652,2018-06-03,2018-07-26
None,Rijeka,CRO,1,1568.08679199,2018-05-20,2018-07-12
None,Aston Villa,ENG,2,1567.45922852,2018-05-27,2018-07-26
None,Osasuna,ESP,2,1566.36853027,2018-06-03,2018-07-26
None,Huddersfield,ENG,1,1565.75524902,2018-05-27,2018-07-26
None,Anderlecht,BEL,1,1563.49621582,2018-05-21,2018-07-26
None,Genoa,ITA,1,1563.2121582,2018-05-21,2018-07-26
None,CFR Cluj,ROM,1,1562.16894531,2018-05-21,2018-07-12
None,Guingamp,FRA,1,1559.75598145,2018-05-20,2018-07-26
None,Chievo,ITA,1,1559.54077148,2018-05-21,2018-07-26
None,Dynamo Moskva,RUS,1,1558.36791992,2018-05-14,2018-07-26
None,Brondby,DEN,1,1557.20227051,2018-05-22,2018-07-12
None,Middlesbrough,ENG,2,1556.65246582,2018-05-27,2018-07-26
None,Spal,ITA,1,1556.52844238,2018-05-21,2018-07-26
None,Udinese,ITA,1,1556.43359375,2018-05-21,2018-07-26
None,Tenerife,ESP,2,1555.64196777,2018-06-03,2018-07-26
None,Dinamo Zagreb,CRO,1,1553.08117676,2018-05-20,2018-07-12
None,Cagliari,ITA,1,1551.87207031,2018-05-21,2018-07-26
None,Dijon,FRA,1,1551.23950195,2018-05-20,2018-07-26
None,Slavia Praha,CZE,1,1551.01708984,2018-05-27,2018-07-22
None,Koeln,GER,1,1550.64147949,2018-05-13,2018-07-01
None,Angers,FRA,1,1548.86694336,2018-05-20,2018-07-26
None,Alkmaar,NED,1,1548.80725098,2018-05-07,2018-07-25
None,Bologna,ITA,1,1548.32678223,2018-05-21,2018-07-26
None,Oviedo,ESP,2,1546.40161133,2018-06-03,2018-07-26
None,Crotone,ITA,1,1544.60498047,2018-05-21,2018-07-01
None,Numancia,ESP,2,1542.53662109,2018-06-14,2018-06-16
None,Las Palmas,ESP,1,1541.18322754,2018-05-27,2018-07-01
None,Tula,RUS,1,1540.61242676,2018-05-14,2018-07-26
None,AIK,SWE,1,1540.19274902,2018-05-27,2018-07-07
None,Beer-Sheva,ISR,1,1539.76318359,2018-05-22,2018-07-10
None,Toulouse,FRA,1,1538.80358887,2018-05-28,2018-07-26
None,Nimes,FRA,2,1538.04528809,2018-05-17,2018-07-01
None,Lille,FRA,1,1534.58728027,2018-05-20,2018-07-26
None,Amiens,FRA,1,1532.33239746,2018-05-20,2018-07-26
None,Granada,ESP,2,1529.98291016,2018-06-03,2018-07-26
None,Cordoba,ESP,2,1528.87963867,2018-06-03,2018-07-26
None,FC Kobenhavn,DEN,1,1528.29016113,2018-05-26,2018-07-12
None,Amkar Perm,RUS,1,1526.54785156,2018-05-14,2018-07-01
None,Sparta Praha,CZE,1,1526.38891602,2018-05-27,2018-07-21
None,Trabzonspor,TUR,1,1524.97399902,2018-05-19,2018-07-26
None,Sverdlovsk,RUS,1,1524.89294434,2018-05-14,2018-07-26
None,Alcorcon,ESP,2,1524.44665527,2018-06-03,2018-07-26
None,Karabakh Agdam,AZE,0,1521.73742676,2017-12-06,2018-07-11
None,Derby,ENG,2,1520.43408203,2018-05-27,2018-07-26
None,Palermo,ITA,2,1518.25683594,2018-06-14,2018-06-16
None,Brentford,ENG,2,1517.73413086,2018-05-27,2018-07-26
None,Preston,ENG,2,1515.60168457,2018-05-27,2018-07-26
None,Hajduk,CRO,1,1515.20239258,2018-05-20,2018-07-12
None,Tarragona,ESP,2,1514.83276367,2018-06-03,2018-07-26
None,Celtic,SCO,1,1511.47729492,2018-05-14,2018-07-10
None,Le Havre,FRA,2,1510.67114258,2018-05-21,2018-07-26
None,Millwall,ENG,2,1508.34436035,2018-05-27,2018-07-26
None,Nuernberg,GER,2,1503.13293457,2018-05-14,2018-07-01
None,Zulte Waregem,BEL,1,1501.72766113,2018-05-28,2018-07-26
None,Vorskla,UKR,1,1496.53100586,2018-05-21,2018-07-25
None,Sheffield Weds,ENG,2,1495.66772461,2018-05-27,2018-07-26
None,Rosenborg,NOR,1,1495.43469238,2018-06-12,2018-06-24
None,Almeria,ESP,2,1494.96459961,2018-06-03,2018-07-26
None,Jablonec,CZE,1,1494.77539062,2018-05-27,2018-07-23
None,Reus Deportiu,ESP,2,1494.2845459,2018-06-03,2018-07-26
None,Luzern,SUI,1,1492.32678223,2018-05-20,2018-07-11
None,M Tel Aviv,ISR,1,1490.50585938,2018-05-22,2018-07-10
None,LASK,AUT,1,1489.35400391,2018-05-28,2018-07-25
None,Zorya,UKR,1,1488.73901367,2018-05-21,2018-07-22
None,Kasimpasa,TUR,1,1487.72973633,2018-05-20,2018-07-26
None,Austria Wien,AUT,1,1487.03723145,2018-05-28,2018-07-25
None,Dinamo Bucuresti,ROM,1,1486.83129883,2018-06-02,2018-07-12
None,Brest,FRA,2,1486.68188477,2018-05-17,2018-07-26
None,FK Astana,KAZ,0,1485.94665527,2018-02-23,2018-07-10
None,Charleroi,BEL,1,1485.93286133,2018-05-21,2018-07-26
None,Frosinone,ITA,2,1485.10339355,2018-06-14,2018-06-16
None,Hull,ENG,2,1484.55957031,2018-05-27,2018-07-26
None,Strasbourg,FRA,1,1484.4498291,2018-05-20,2018-07-26
None,Apollon Lemesos,CYP,0,1483.19372559,2017-12-08,2018-07-11
None,Parma,ITA,2,1482.93505859,2018-05-19,2018-07-01
None,Lugo,ESP,2,1482.71228027,2018-06-03,2018-07-26
None,Viitorul,ROM,1,1482.63818359,2018-05-21,2018-07-12
None,Rio Ave,POR,1,1482.09619141,2018-05-14,2018-07-26
None,Caen,FRA,1,1480.69055176,2018-05-20,2018-07-26
None,Albacete,ESP,2,1479.91833496,2018-06-03,2018-07-26
None,Leonesa,ESP,2,1477.37329102,2018-06-03,2018-07-01
None,BATE,BLR,1,1476.64257812,2018-06-14,2018-06-17
None,Panathinaikos,GRE,1,1475.66540527,2018-05-08,2018-07-24
None,Clermont,FRA,2,1474.86047363,2018-05-17,2018-07-26
None,Duesseldorf,GER,2,1474.5949707,2018-05-14,2018-07-01
None,Norwich,ENG,2,1473.87365723,2018-05-27,2018-07-26
None,Utrecht,NED,1,1473.76965332,2018-05-20,2018-07-25
None,Vitesse,NED,1,1473.75195312,2018-05-20,2018-07-25
None,Darmstadt,GER,2,1473.10803223,2018-05-14,2018-07-26
None,Lorient,FRA,2,1472.82971191,2018-05-17,2018-07-26
None,Bristol City,ENG,2,1472.46777344,2018-05-27,2018-07-26
None,Zuerich,SUI,1,1471.68408203,2018-05-20,2018-07-11
None,Mattersburg,AUT,1,1471.66064453,2018-05-28,2018-07-25
None,CSKA Sofia,BUL,1,1471.35827637,2018-05-21,2018-07-11
None,Holstein,GER,2,1471.25219727,2018-05-22,2018-07-26
None,Oostende,BEL,1,1470.79626465,2018-05-20,2018-07-26
None,Legia,POL,1,1470.66833496,2018-05-21,2018-07-10
None,Akhisar,TUR,1,1470.58984375,2018-05-19,2018-07-26
None,Atromitos,GRE,1,1470.25341797,2018-05-06,2018-07-24
None,Partizan,SRB,1,1469.74829102,2018-05-18,2018-07-11
None,Admira,AUT,1,1468.58239746,2018-05-28,2018-07-25
None,Guimaraes,POR,1,1467.12121582,2018-05-13,2018-07-26
None,Konyaspor,TUR,1,1466.86254883,2018-05-20,2018-07-26
None,Malmoe,SWE,1,1466.70996094,2018-05-28,2018-07-07
None,Olexandriya,UKR,1,1466.21826172,2018-05-20,2018-07-22
None,Union Berlin,GER,2,1465.57946777,2018-05-14,2018-07-26
None,Bari,ITA,2,1464.82507324,2018-06-04,2018-07-01
None,Maribor,SVN,1,1464.56164551,2018-05-28,2018-07-11
None,Craiova,ROM,1,1464.3996582,2018-05-21,2018-07-12
None,Kortrijk,BEL,1,1463.74353027,2018-05-19,2018-07-26
None,Troyes,FRA,1,1463.10705566,2018-05-20,2018-07-01
None,Djurgarden,SWE,1,1462.53564453,2018-05-28,2018-07-08
None,Ingolstadt,GER,2,1462.52148438,2018-05-14,2018-07-26
None,Sheffield United,ENG,2,1461.41784668,2018-05-27,2018-07-26
None,Sion,SUI,1,1461.05517578,2018-05-20,2018-07-11
None,Cittadella,ITA,2,1460.69543457,2018-06-11,2018-07-26
None,Astra,ROM,1,1459.97888184,2018-05-21,2018-07-12
None,Barcelona B,ESP,2,1459.69616699,2018-06-03,2018-07-01
None,Ostersund,SWE,1,1458.98718262,2018-05-27,2018-07-09
None,Metz,FRA,1,1458.21044922,2018-05-20,2018-07-01
None,Venezia,ITA,2,1457.07983398,2018-06-11,2018-07-26
None,Norrkoeping,SWE,1,1456.9440918,2018-05-27,2018-07-08
None,Verona,ITA,1,1456.54760742,2018-05-20,2018-07-01
None,Sivasspor,TUR,1,1456.09545898,2018-05-20,2018-07-26
None,Larnaca,CYP,0,1455.22961426,2017-12-08,2018-07-11
None,Leeds,ENG,2,1454.79589844,2018-05-27,2018-07-26
None,Alanyaspor,TUR,1,1454.20800781,2018-05-19,2018-07-26
None,Maritimo,POR,1,1452.3927002,2018-05-14,2018-07-26
None,Antalyaspor,TUR,1,1452.07397461,2018-05-19,2018-07-26
None,Ajaccio,FRA,2,1451.35949707,2018-05-28,2018-07-26
None,Benevento,ITA,1,1451.22277832,2018-05-21,2018-07-01
None,Anzhi,RUS,1,1449.58911133,2018-05-14,2018-07-26
None,Ipswich,ENG,2,1449.56799316,2018-05-27,2018-07-26
None,Goeztepe,TUR,1,1448.62890625,2018-05-20,2018-07-26
None,Lokeren,BEL,1,1448.41894531,2018-05-24,2018-07-26
None,Nordsjaelland,DEN,1,1448.25354004,2018-05-22,2018-07-12
None,Bochum,GER,2,1444.01159668,2018-05-14,2018-07-26
None,Bielefeld,GER,2,1442.49462891,2018-05-14,2018-07-26
None,Tosno,RUS,1,1441.55895996,2018-05-14,2018-07-01
None,Boavista,POR,1,1441.29846191,2018-05-13,2018-07-26
None,AEL Limassol,CYP,0,1441.28161621,2017-12-08,2018-07-01
None,Ankaraspor,TUR,1,1439.0345459,2018-05-19,2018-07-01
None,Malatyaspor,TUR,1,1438.11889648,2018-05-19,2018-07-26
None,Osijek,CRO,1,1438.10375977,2018-05-19,2018-07-12
None,Cesena,ITA,2,1437.05249023,2018-05-19,2018-07-01
None,Chaves,POR,1,1436.84655762,2018-05-12,2018-07-26
None,Thun,SUI,1,1436.39575195,2018-05-20,2018-07-11
None,QPR,ENG,2,1435.88879395,2018-05-27,2018-07-26
None,Lugano,SUI,1,1435.29760742,2018-05-20,2018-07-11
None,Perugia,ITA,2,1433.29223633,2018-06-04,2018-07-26
None,Paris FC,FRA,2,1433.27734375,2018-05-17,2018-07-26
None,Xanthi,GRE,1,1431.63476562,2018-05-08,2018-07-24
None,St Truiden,BEL,1,1431.59265137,2018-05-20,2018-07-26
None,Altach,AUT,1,1430.38342285,2018-05-28,2018-07-25
None,Foggia,ITA,2,1428.48046875,2018-05-19,2018-07-26
None,Asteras Tripolis,GRE,1,1426.62768555,2018-05-07,2018-07-24
None,Kayseri,TUR,1,1424.8795166,2018-05-19,2018-07-26
None,Lens,FRA,2,1424.78088379,2018-05-17,2018-07-26
None,Genclerbirligi,TUR,1,1424.12011719,2018-05-19,2018-07-01
None,Lech,POL,1,1423.46716309,2018-05-21,2018-07-10
None,Jagiellonia,POL,1,1423.41455078,2018-05-21,2018-07-10
None,Braunschweig,GER,2,1423.21520996,2018-05-14,2018-07-01
None,Haecken,SWE,1,1422.19519043,2018-05-27,2018-07-07
None,Forest,ENG,2,1420.16796875,2018-05-27,2018-07-26
None,Sevilla B,ESP,2,1419.91186523,2018-06-02,2018-07-01
None,Sunderland,ENG,2,1419.66223145,2018-05-27,2018-07-01
None,Wolfsberg,AUT,1,1419.6048584,2018-05-28,2018-07-25
None,Chateauroux,FRA,2,1419.55053711,2018-05-17,2018-07-26
None,Spezia,ITA,2,1419.48986816,2018-05-19,2018-07-26
None,Gabala,AZE,0,1419.4732666,2017-12-06,2018-07-11
None,St Pauli,GER,2,1418.96557617,2018-05-14,2018-07-26
None,Beitar,ISR,1,1417.32958984,2018-05-22,2018-07-10
None,Heidenheim,GER,2,1416.46350098,2018-05-14,2018-07-26
None,Levski,BUL,1,1414.02526855,2018-05-25,2018-07-11
None,Bursaspor,TUR,1,1413.5970459,2018-05-19,2018-07-26
None,Olimpija Ljubljana,SVN,1,1412.43701172,2018-05-28,2018-07-11
None,Sandhausen,GER,2,1412.17810059,2018-05-14,2018-07-26
None,Duisburg,GER,2,1412.05932617,2018-05-14,2018-07-26
None,Belenenses,POR,1,1411.32714844,2018-05-13,2018-07-26
None,Groningen,NED,1,1410.05322266,2018-05-07,2018-07-25
None,Lok Zagreb,CRO,1,1409.2520752,2018-05-19,2018-07-12
None,Slovan Liberec,CZE,1,1409.1114502,2018-05-27,2018-07-21
None,Dinamo Minsk,BLR,1,1408.68322754,2018-06-14,2018-06-18
None,Lorca FC,ESP,2,1408.52307129,2018-06-02,2018-07-01
None,Grasshoppers,SUI,1,1408.31689453,2018-05-20,2018-07-11
None,Fuerth,GER,2,1407.59912109,2018-05-14,2018-07-26
None,Salernitana,ITA,2,1407.5213623,2018-05-19,2018-07-26
None,Hammarby,SWE,1,1406.87548828,2018-05-28,2018-07-09
None,Regensburg,GER,2,1406.3013916,2018-05-14,2018-07-26
None,Carpi,ITA,2,1406.13549805,2018-05-19,2018-07-26
None,Reading,ENG,2,1405.44116211,2018-05-27,2018-07-26
None,Birmingham,ENG,2,1404.96398926,2018-05-27,2018-07-26
None,Lautern,GER,2,1404.38439941,2018-05-14,2018-07-01
None,Brann,NOR,1,1403.26843262,2018-06-11,2018-06-25
None,Tondela,POR,1,1402.56835938,2018-05-14,2018-07-26
None,Domzale,SVN,1,1401.85632324,2018-05-28,2018-07-11
None,Panionios,GRE,1,1401.51586914,2018-05-07,2018-07-24
None,Sigma Olomouc,CZE,1,1401.45361328,2018-05-27,2018-07-22
None,Antwerp,BEL,1,1401.30358887,2018-05-20,2018-07-26
None,Aarhus,DEN,1,1399.86816406,2018-05-26,2018-07-12
None,Auxerre,FRA,2,1396.47924805,2018-05-17,2018-07-26
None,Khabarovsk,RUS,1,1394.65808105,2018-05-14,2018-07-01
None,Dresden,GER,2,1393.44909668,2018-05-14,2018-07-26
None,Brescia,ITA,2,1393.27001953,2018-05-19,2018-07-26
None,Nancy,FRA,2,1392.07836914,2018-05-17,2018-07-26
None,Portimonense,POR,1,1391.49145508,2018-05-14,2018-07-26
None,Pescara,ITA,2,1389.09985352,2018-05-19,2018-07-26
None,Karpaty,UKR,1,1388.01074219,2018-05-20,2018-07-22
None,Avellino,ITA,2,1387.69189453,2018-05-19,2018-07-01
None,StGallen,SUI,1,1387.23681641,2018-05-20,2018-07-11
None,Mlada Boleslav,CZE,1,1386.63171387,2018-05-27,2018-07-21
None,Heerenveen,NED,1,1386.27722168,2018-05-13,2018-07-25
None,SonderjyskE,DEN,1,1386.04711914,2018-05-23,2018-07-12
None,Molde,NOR,1,1385.18615723,2018-06-10,2018-06-23
None,Heracles,NED,1,1384.99414062,2018-05-07,2018-07-25
None,Cremonese,ITA,2,1384.8885498,2018-05-19,2018-07-26
None,Feirense,POR,1,1384.62878418,2018-05-14,2018-07-26
None,Sochaux,FRA,2,1383.60791016,2018-05-17,2018-07-26
None,Aalborg,DEN,1,1383.10339355,2018-05-22,2018-07-12
None,Barnsley,ENG,2,1382.4699707,2018-05-27,2018-07-01
None,Ilichivets,UKR,1,1382.40075684,2018-05-21,2018-07-22
None,Ascoli,ITA,2,1382.15246582,2018-06-01,2018-07-26
None,Veres,UKR,1,1381.15771484,2018-05-21,2018-07-01
None,Estoril,POR,1,1379.52587891,2018-05-14,2018-07-01
None,Videoton,HUN,1,1378.94030762,2018-06-03,2018-07-10
None,Setubal,POR,1,1378.54333496,2018-05-14,2018-07-26
None,Pacos Ferreira,POR,1,1378.51000977,2018-05-14,2018-07-01
None,Wisla,POL,1,1378.47094727,2018-05-21,2018-07-10
None,Aue,GER,2,1377.11816406,2018-05-14,2018-07-26
None,Novara,ITA,2,1376.06799316,2018-05-19,2018-07-01
None,Lausanne,SUI,1,1375.45959473,2018-05-20,2018-07-01
None,Den Haag,NED,1,1375.2019043,2018-05-13,2018-07-25
None,Elfsborg,SWE,1,1374.33862305,2018-05-28,2018-07-08
None,Aberdeen,SCO,1,1374.23693848,2018-05-14,2018-07-10
None,Giannina,GRE,1,1373.31591797,2018-05-07,2018-07-24
None,Burton,ENG,2,1373.19714355,2018-05-27,2018-07-01
None,Moreirense,POR,1,1372.73120117,2018-05-14,2018-07-26
None,Valenciennes,FRA,2,1372.08288574,2018-05-17,2018-07-26
None,Iasi,ROM,1,1371.29492188,2018-05-21,2018-07-12
None,Aves,POR,1,1370.76916504,2018-05-12,2018-07-26
None,Sheriff Tiraspol,MOL,0,1368.30603027,2017-12-08,2018-07-10
None,Botosani,ROM,1,1367.83898926,2018-06-03,2018-07-12
None,Ruzomberok,SLK,0,1366.97412109,2017-08-04,2018-07-01
None,Niort,FRA,2,1366.77990723,2018-05-17,2018-07-26
None,Sarpsborg,NOR,1,1366.26721191,2018-06-11,2018-06-24
None,Willem II,NED,1,1365.9810791,2018-05-07,2018-07-25
None,Beveren,BEL,1,1365.49230957,2018-05-19,2018-07-26
None,Shkendija,MAC,0,1365.29833984,2017-12-08,2018-07-10
None,Bolton,ENG,2,1364.72338867,2018-05-27,2018-07-26
None,Goeteborg,SWE,1,1364.56103516,2018-05-28,2018-07-08
None,Olimpik Donetsk,UKR,1,1364.18237305,2018-05-20,2018-07-23
None,Entella,ITA,2,1363.87072754,2018-06-01,2018-07-01
None,Orleans,FRA,2,1363.13085938,2018-05-17,2018-07-26
None,Ferencvaros,HUN,1,1361.6661377,2018-06-03,2018-07-10
None,Randers,DEN,1,1360.3157959,2018-05-22,2018-07-12
None,Odense,DEN,1,1360.0982666,2018-05-14,2018-07-12
None,Chernomorets,UKR,1,1358.66992188,2018-05-20,2018-07-23
None,Botev Plovdiv,BUL,1,1358.23034668,2018-05-21,2018-07-11
None,Soligorsk,BLR,1,1356.44458008,2018-06-14,2018-06-17
None,Plock,POL,1,1355.89904785,2018-05-21,2018-07-10
None,Gazelec,FRA,2,1353.49511719,2018-05-17,2018-07-26
None,Lubin,POL,1,1352.45544434,2018-05-21,2018-07-10
None,Gornik,POL,1,1352.16418457,2018-05-21,2018-07-10
None,Ternana,ITA,2,1352.04821777,2018-05-19,2018-07-01
None,Oerebro,SWE,1,1351.80493164,2018-05-28,2018-07-08
None,Teplice,CZE,1,1350.54711914,2018-05-27,2018-07-21
None,St Poelten,AUT,1,1348.39013672,2018-05-28,2018-07-25
None,Pro Vercelli,ITA,2,1348.34326172,2018-05-19,2018-07-01
None,Zwolle,NED,1,1347.84191895,2018-05-07,2018-07-25
None,Mouscron,BEL,1,1347.68676758,2018-05-19,2018-07-26
None,Kalmar,SWE,1,1347.4486084,2018-05-28,2018-07-08
None,Zirka,UKR,1,1346.26757812,2018-05-20,2018-07-01
None,Zira,AZE,0,1345.95275879,2017-12-06,2018-07-01
